Setpoint,PID_Output,Planta_Output
8,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
29.00,0.18,29.00
