Setpoint,PID_Output,Planta_Output
48.00,20.84,29.62
48.00,20.84,29.85
48.00,20.32,30.09
48.00,20.32,30.31
48.00,20.06,30.54
48.00,20.06,30.54
48.00,20.24,30.76
48.00,20.24,30.98
48.00,19.73,31.21
48.00,19.73,31.43
48.00,19.91,31.43
48.00,19.91,31.65
48.00,19.40,31.87
48.00,19.40,32.08
48.00,19.14,32.30
48.00,19.14,32.51
48.00,19.30,32.51
48.00,19.30,32.72
48.00,18.81,32.94
48.00,18.81,33.14
48.00,18.56,33.35
48.00,18.56,33.35
48.00,18.71,33.55
48.00,18.71,33.76
48.00,18.23,33.97
48.00,18.23,34.17
48.00,17.98,34.37
48.00,17.98,34.37
48.00,18.12,34.56
48.00,18.12,34.76
48.00,17.65,34.96
48.00,17.65,35.15
48.00,17.79,35.15
48.00,17.79,35.35
48.00,17.33,35.54
48.00,17.33,35.73
48.00,17.08,35.92
48.00,17.08,35.92
48.00,17.21,36.11
48.00,17.21,36.30
48.00,16.76,36.49
48.00,16.76,36.67
48.00,16.51,36.85
48.00,16.51,36.85
48.00,16.63,37.03
48.00,16.63,37.21
48.00,16.19,37.39
48.00,16.19,37.57
48.00,16.31,37.57
48.00,16.31,37.74
48.00,15.87,37.92
48.00,15.87,38.09
48.00,15.64,38.26
48.00,15.64,38.43
48.00,15.74,38.43
48.00,15.74,38.60
48.00,15.32,38.77
48.00,15.32,38.94
48.00,15.09,39.10
48.00,15.09,39.10
48.00,15.18,39.27
48.00,15.18,39.43
48.00,14.77,39.59
48.00,14.77,39.75
48.00,14.55,39.91
48.00,14.55,39.91
48.00,14.63,40.07
48.00,14.63,40.22
48.00,14.24,40.38
48.00,14.24,40.53
48.00,14.32,40.53
48.00,14.32,40.69
48.00,13.93,40.84
48.00,13.93,40.99
48.00,13.71,41.14
48.00,13.71,41.14
48.00,13.78,41.28
48.00,13.78,41.43
48.00,13.41,41.58
48.00,13.41,41.72
48.00,13.19,41.86
48.00,13.19,41.86
48.00,13.26,42.00
48.00,13.26,42.14
48.00,12.89,42.28
48.00,12.89,42.42
48.00,12.96,42.42
48.00,12.96,42.55
48.00,12.60,42.69
48.00,12.60,42.82
48.00,12.39,42.96
48.00,12.39,43.09
48.00,12.45,43.09
48.00,12.45,43.22
48.00,12.10,43.35
48.00,12.10,43.47
48.00,11.90,43.60
48.00,11.90,43.60
48.00,11.95,43.73
48.00,11.95,43.85
48.00,11.61,43.98
48.00,11.61,44.10
48.00,11.66,44.10
48.00,11.66,44.22
48.00,11.33,44.34
48.00,11.33,44.46
48.00,11.14,44.57
48.00,11.14,44.69
48.00,11.18,44.69
48.00,11.18,44.81
48.00,10.86,44.92
48.00,10.86,45.03
48.00,10.67,45.15
48.00,10.67,45.15
48.00,10.70,45.26
48.00,10.70,45.37
48.00,10.40,45.48
48.00,10.40,45.58
48.00,10.21,45.69
48.00,10.21,45.69
48.00,10.24,45.79
48.00,10.24,45.90
48.00,9.95,46.00
48.00,9.95,46.10
48.00,9.97,46.10
48.00,9.97,46.20
48.00,9.68,46.31
48.00,9.68,46.40
48.00,9.51,46.50
48.00,9.51,46.50
48.00,9.53,46.60
48.00,9.53,46.70
48.00,9.25,46.79
48.00,9.25,46.88
48.00,9.27,46.88
48.00,9.27,46.98
48.00,9.00,47.07
48.00,9.00,47.16
48.00,8.83,47.25
48.00,8.83,47.34
48.00,8.84,47.34
48.00,8.84,47.43
48.00,8.58,47.52
48.00,8.58,47.60
48.00,8.42,47.69
48.00,8.42,47.69
48.00,8.43,47.77
48.00,8.43,47.85
48.00,8.18,47.94
48.00,8.18,48.02
48.00,8.18,48.02
48.00,8.18,48.10
48.00,7.94,48.18
48.00,7.94,48.25
48.00,7.79,48.33
48.00,7.79,48.33
48.00,7.79,48.41
48.00,7.79,48.48
48.00,7.55,48.56
48.00,7.55,48.63
48.00,7.55,48.63
48.00,7.55,48.71
48.00,7.33,48.78
48.00,7.33,48.85
48.00,7.18,48.92
48.00,7.18,48.99
48.00,7.18,48.99
48.00,7.18,49.06
48.00,6.96,49.13
48.00,6.96,49.19
48.00,6.82,49.26
48.00,6.82,49.26
48.00,6.81,49.32
48.00,6.81,49.39
48.00,6.60,49.45
48.00,6.60,49.51
48.00,6.59,49.51
48.00,6.59,49.57
48.00,6.39,49.64
48.00,6.39,49.70
48.00,6.26,49.76
48.00,6.26,49.76
48.00,6.24,49.81
48.00,6.24,49.87
48.00,6.05,49.93
48.00,6.05,49.98
48.00,6.03,49.98
48.00,6.03,50.04
48.00,5.85,50.09
48.00,5.85,50.15
48.00,5.72,50.20
48.00,5.72,50.25
48.00,5.70,50.25
48.00,5.70,50.30
48.00,5.53,50.36
48.00,5.53,50.40
48.00,5.41,50.45
48.00,5.41,50.45
48.00,5.39,50.50
48.00,5.39,50.55
48.00,5.22,50.60
48.00,5.22,50.64
48.00,5.19,50.64
48.00,5.19,50.69
48.00,5.03,50.73
48.00,5.03,50.78
48.00,4.92,50.82
48.00,4.92,50.82
48.00,4.89,50.86
48.00,4.89,50.91
48.00,4.74,50.95
48.00,4.74,50.99
48.00,4.71,50.99
48.00,4.71,51.03
48.00,4.56,51.07
48.00,4.56,51.11
48.00,4.46,51.14
48.00,4.46,51.14
48.00,4.43,51.18
48.00,4.43,51.22
48.00,4.28,51.26
48.00,4.28,51.29
48.00,4.18,51.33
48.00,4.18,51.33
48.00,4.15,51.36
48.00,4.15,51.39
48.00,4.02,51.43
48.00,4.02,51.46
48.00,3.99,51.46
48.00,3.99,51.49
48.00,3.86,51.52
48.00,3.86,51.55
48.00,3.77,51.58
48.00,3.77,51.58
48.00,3.73,51.61
48.00,3.73,51.64
48.00,3.61,51.67
48.00,3.61,51.69
48.00,3.57,51.69
48.00,3.57,51.72
48.00,3.46,51.75
48.00,3.46,51.77
48.00,3.37,51.80
48.00,3.37,51.80
48.00,3.33,51.82
48.00,3.33,51.85
48.00,3.22,51.87
48.00,3.22,51.89
48.00,3.14,51.92
48.00,3.14,51.92
48.00,3.10,51.94
48.00,3.10,51.96
48.00,3.00,51.98
48.00,3.00,52.00
48.00,2.96,52.00
48.00,2.96,52.02
48.00,2.86,52.04
48.00,2.86,52.06
48.00,2.79,52.08
48.00,2.79,52.08
48.00,2.75,52.10
48.00,2.75,52.11
48.00,2.66,52.13
48.00,2.66,52.15
48.00,2.62,52.15
48.00,2.62,52.16
48.00,2.53,52.18
48.00,2.53,52.19
48.00,2.46,52.21
48.00,2.46,52.21
48.00,2.42,52.22
48.00,2.42,52.24
48.00,2.33,52.25
48.00,2.33,52.26
48.00,2.29,52.26
48.00,2.29,52.28
48.00,2.22,52.29
48.00,2.22,52.30
48.00,2.15,52.31
48.00,2.15,52.32
48.00,2.11,52.32
48.00,2.11,52.33
48.00,2.04,52.34
48.00,2.04,52.35
48.00,1.98,52.36
48.00,1.98,52.36
48.00,1.93,52.37
48.00,1.93,52.38
48.00,1.87,52.38
48.00,1.87,52.39
48.00,1.82,52.39
48.00,1.82,52.40
48.00,1.76,52.40
48.00,1.76,52.41
48.00,1.71,52.42
48.00,1.71,52.42
48.00,1.66,52.42
48.00,1.66,52.43
48.00,1.60,52.43
48.00,1.60,52.44
48.00,1.56,52.44
48.00,1.56,52.44
48.00,1.51,52.44
48.00,1.51,52.45
48.00,1.46,52.45
48.00,1.46,52.45
48.00,1.41,52.45
48.00,1.41,52.45
48.00,1.36,52.46
48.00,1.36,52.46
48.00,1.32,52.46
48.00,1.32,52.46
48.00,1.27,52.46
48.00,1.27,52.46
48.00,1.23,52.46
48.00,1.23,52.46
48.00,1.18,52.46
48.00,1.18,52.46
48.00,1.14,52.46
48.00,1.14,52.46
48.00,1.10,52.46
48.00,1.10,52.46
48.00,1.05,52.46
48.00,1.05,52.46
48.00,1.02,52.45
48.00,1.02,52.45
48.00,0.97,52.45
48.00,0.97,52.45
48.00,0.94,52.45
48.00,0.94,52.44
48.00,0.90,52.44
48.00,0.90,52.44
48.00,0.86,52.44
48.00,0.86,52.43
48.00,0.82,52.43
48.00,0.82,52.42
48.00,0.79,52.42
48.00,0.79,52.42
48.00,0.75,52.41
48.00,0.75,52.41
48.00,0.72,52.40
48.00,0.72,52.40
48.00,0.68,52.40
48.00,0.68,52.39
48.00,0.65,52.39
48.00,0.65,52.38
48.00,0.62,52.37
48.00,0.62,52.37
48.00,0.58,52.37
48.00,0.58,52.36
48.00,0.56,52.35
48.00,0.56,52.34
48.00,0.51,52.34
48.00,0.51,52.34
48.00,0.49,52.33
48.00,0.49,52.32
48.00,0.47,52.31
48.00,0.47,52.31
48.00,0.42,52.30
48.00,0.42,52.30
48.00,0.41,52.29
48.00,0.41,52.28
48.00,0.38,52.27
48.00,0.38,52.27
48.00,0.34,52.26
48.00,0.34,52.25
48.00,0.33,52.24
48.00,0.33,52.23
48.00,0.29,52.23
48.00,0.29,52.22
48.00,0.28,52.21
48.00,0.28,52.20
48.00,0.26,52.19
48.00,0.26,52.19
48.00,0.22,52.18
48.00,0.22,52.17
48.00,0.21,52.15
48.00,0.21,52.14
48.00,0.17,52.14
48.00,0.17,52.13
48.00,0.16,52.12
48.00,0.16,52.11
48.00,0.14,52.10
48.00,0.14,52.10
48.00,0.10,52.08
48.00,0.10,52.07
48.00,0.10,52.06
48.00,0.10,52.05
48.00,0.06,52.05
48.00,0.06,52.03
48.00,0.06,52.02
48.00,0.06,52.01
48.00,0.04,52.00
48.00,0.04,51.98
48.00,0.00,51.98
48.00,0.00,51.97
48.00,0.01,51.96
48.00,0.01,51.94
48.00,-0.01,51.93
48.00,-0.01,51.93
48.00,-0.05,51.92
48.00,-0.05,51.90
48.00,-0.04,51.89
48.00,-0.04,51.87
48.00,-0.08,51.87
48.00,-0.08,51.86
48.00,-0.08,51.85
48.00,-0.08,51.83
48.00,-0.09,51.82
48.00,-0.09,51.80
48.00,-0.12,51.80
